Region_Type,Region_Name,Region_Name_Code,URL
Districts,IDN.82.281,"Halmahera Barat, Kab.",
Districts,IDN.82.403,"Halmahera Selatan, Kab.",
Districts,IDN.82.282,"Halmahera Tengah, Kab.",
Districts,IDN.82.404,"Halmahera Timur, Kab.",
Districts,IDN.82.402,"Halmahera Utara, Kab.",
Districts,IDN.63.185,"Hulu Sungai Selatan, Kab.",
Districts,IDN.63.186,"Hulu Sungai Tengah, Kab.",
Districts,IDN.63.187,"Hulu Sungai Utara, Kab.",
Districts,IDN.12.388,"Humbang Hasundutan, Kab.",
Districts,IDN.14.43,"Indragiri Hilir, Kab.",
Districts,IDN.14.44,"Indragiri Hulu, Kab.",
Districts,IDN.32.79,"Indramayu, Kab.",
Districts,IDN.94.487,"Intan Jaya, Kab.",
Cities,IDN.31.995,"Jakarta Barat, Kota",
Cities,IDN.31.994,"Jakarta Pusat, Kota",
Cities,IDN.31.992,"Jakarta Selatan, Kota",
Cities,IDN.31.993,"Jakarta Timur, Kota",
Cities,IDN.31.996,"Jakarta Utara, Kota",
Cities,IDN.15.53,"Jambi, Kota",
Provinces,IDN.15,"Jambi, Prop.",http://dbpedia.org/resource/Jambi
Provinces,IDN.32,"Jawa Barat, Prop.",http://dbpedia.org/resource/West_Java
Provinces,IDN.33,"Jawa Tengah, Prop.",http://dbpedia.org/resource/Central_Java
Provinces,IDN.35,"Jawa Timur, Prop.",http://dbpedia.org/resource/East_Java
Districts,IDN.94.272,"Jayapura, Kab.",
Cities,IDN.94.279,"Jayapura, Kota",
Districts,IDN.94.273,"Jayawijaya, Kab.",
Districts,IDN.35.139,"Jember, Kab.",
Districts,IDN.51.242,"Jembrana, Kab.",
Districts,IDN.73.216,"Jeneponto, Kab.",
Districts,IDN.33.102,"Jepara, Kab.",
Districts,IDN.35.140,"Jombang, Kab.",
Districts,IDN.91.372,"Kaimana, Kab.",
Provinces,IDN.61,"Kalimantan Barat, Prop.",http://dbpedia.org/resource/West_Kalimantan
Provinces,IDN.63,"Kalimantan Selatan, Prop.",http://dbpedia.org/resource/South_Kalimantan
Provinces,IDN.62,"Kalimantan Tengah, Prop.",http://dbpedia.org/resource/Central_Kalimantan
Provinces,IDN.64,"Kalimantan Timur, Prop.",http://dbpedia.org/resource/East_Kalimantan
Districts,IDN.14.45,"Kampar, Kab.",
Districts,IDN.61.170,"Kapuas Hulu, Kab.",
Districts,IDN.62.179,"Kapuas, Kab.",
Districts,IDN.51.243,"Karang Asem, Kab.",
Districts,IDN.33.103,"Karanganyar, Kab.",
Districts,IDN.32.80,"Karawang, Kab.",
Districts,IDN.21.304,"Karimun, Kab.",
Districts,IDN.62.359,"Katingan, Kab.",
Districts,IDN.17.390,"Kaur, Kab.",
Districts,IDN.61.440,"Kayong Utara, Kab.",
Districts,IDN.33.104,"Kebumen, Kab.",
Districts,IDN.35.141,"Kediri, Kab.",
Cities,IDN.35.163,"Kediri, Kota",
Districts,IDN.94.374,"Keerom, Kab.",
Districts,IDN.33.105,"Kendal, Kab.",
Cities,IDN.74.237,"Kendari, Kota",
Districts,IDN.71.449,"Kep. Siau Tagulandang Biaro (Sitaro), Kab.",
Districts,IDN.17.422,"Kepahiang, Kab.",
Districts,IDN.21.477,"Kepulauan Anambas, Kab.",
Districts,IDN.81.431,"Kepulauan Aru, Kab.",
Provinces,IDN.19,"Kepulauan Bangka Belitung, Prop.",http://dbpedia.org/resource/Bangka-Belitung_Islands
Districts,IDN.13.298,"Kepulauan Mentawai, Kab.",
Districts,IDN.14.490,"Kepulauan Meranti, Kab.",
Provinces,IDN.21,"Kepulauan Riau, Prop.",
Districts,IDN.71.202,"Kepulauan Sangihe, Kab.",
Districts,IDN.82.400,"Kepulauan Sula, Kab.",
Districts,IDN.71.365,"Kepulauan Talaud, Kab.",
Districts,IDN.15.50,"Kerinci, Kab.",
Districts,IDN.61.171,"Ketapang, Kab.",
Districts,IDN.33.106,"Klaten, Kab.",
Districts,IDN.51.244,"Klungkung, Kab.",
Districts,IDN.74.429,"Kolaka Utara, Kab.",
Districts,IDN.74.235,"Kolaka, Kab.",
Districts,IDN.74.398,"Konawe Selatan, Kab.",
Districts,IDN.74.447,"Konawe Utara, Kab.",
Districts,IDN.74.234,"Konawe, Kab.",
Districts,IDN.63.188,"Kota Baru, Kab.",
Cities,IDN.71.438,"Kotamobagu, Kota",
Districts,IDN.62.180,"Kotawaringin Barat, Kab.",
Districts,IDN.62.181,"Kotawaringin Timur, Kab.",
Districts,IDN.14.299,"Kuantan Singingi, Kab.",
Districts,IDN.61.456,"Kubu Raya, Kab.",
Districts,IDN.33.107,"Kudus, Kab.",
Districts,IDN.34.130,"Kulon Progo, Kab.",
Districts,IDN.32.81,"Kuningan, Kab.",
Districts,IDN.53.258,"Kupang, Kab.",
Cities,IDN.53.266,"Kupang, Kota",
Districts,IDN.64.321,"Kutai Barat, Kab.",
Districts,IDN.64.195,"Kutai Kartanegara, Kab.",
Districts,IDN.64.322,"Kutai Timur, Kab.",
Districts,IDN.12.466,"Labuhan Batu Selatan, Kab.",
Districts,IDN.12.467,"Labuhan Batu Utara, Kab.",
Districts,IDN.12.14,"Labuhan Batu, Kab.",
Districts,IDN.16.54,"Lahat, Kab.",
Districts,IDN.62.357,"Lamandau, Kab.",
Districts,IDN.35.142,"Lamongan, Kab.",
Districts,IDN.18.68,"Lampung Barat, Kab.",
Districts,IDN.18.65,"Lampung Selatan, Kab.",
Districts,IDN.18.66,"Lampung Tengah, Kab.",
Districts,IDN.18.312,"Lampung Timur, Kab.",
Districts,IDN.18.67,"Lampung Utara, Kab.",
Provinces,IDN.18,"Lampung, Prop.",http://dbpedia.org/resource/Lampung
Districts,IDN.61.319,"Landak, Kab.",
Districts,IDN.12.15,"Langkat, Kab.",
Cities,IDN.11.337,"Langsa, Kota",
Districts,IDN.94.462,"Lanny Jaya, Kab.",
Districts,IDN.36.283,"Lebak, Kab.",
Districts,IDN.17.421,"Lebong, Kab.",
Districts,IDN.53.317,"Lembata, Kab.",
Cities,IDN.11.338,"Lhokseumawe, Kota",
Districts,IDN.13.29,"Limapuluh Kota, Kab.",
Districts,IDN.21.417,"Lingga, Kab.",
Districts,IDN.52.249,"Lombok Barat, Kab.",
Districts,IDN.52.250,"Lombok Tengah, Kab.",
Districts,IDN.52.251,"Lombok Timur, Kab.",
Districts,IDN.52.470,"Lombok Utara, Kab.",
