Region_Type,Region_Name,Region_Name_Code,URL
Districts,IDN.32.87,"Tasikmalaya, Kab.",
Cities,IDN.32.344,"Tasikmalaya, Kota",
Cities,IDN.12.27,"Tebing Tinggi, Kota",
Districts,IDN.15.311,"Tebo, Kab.",
Districts,IDN.33.118,"Tegal, Kab.",
Cities,IDN.33.127,"Tegal, Kota",
Districts,IDN.91.379,"Teluk Bintuni, Kab.",
Districts,IDN.91.378,"Teluk Wondama, Kab.",
Districts,IDN.33.119,"Temanggung, Kab.",
Cities,IDN.82.333,"Ternate, Kota",
Cities,IDN.82.401,"Tidore Kepulauan, Kota",
Districts,IDN.53.264,"Timor Tengah Selatan, Kab.",
Districts,IDN.53.265,"Timor Tengah Utara, Kab.",
Districts,IDN.12.297,"Toba Samosir, Kab.",
Districts,IDN.72.426,"Tojo Una-Una, Kab.",
Districts,IDN.72.208,"Toli-Toli, Kab.",
Districts,IDN.94.377,"Tolikara, Kab.",
Cities,IDN.71.394,"Tomohon, Kota",
Districts,IDN.73.472,"Toraja Utara, Kab.",
Districts,IDN.35.159,"Trenggalek, Kab.",
Cities,IDN.81.452,"Tual, Kota",
Districts,IDN.35.160,"Tuban, Kab.",
Districts,IDN.18.483,"Tulang Bawang Barat, Kab.",
Districts,IDN.18.69,"Tulang Bawang, Kab.",
Districts,IDN.35.161,"Tulungagung, Kab.",
Districts,IDN.73.230,"Wajo, Kab.",
Districts,IDN.74.428,"Wakatobi, Kab.",
Districts,IDN.94.385,"Waropen, Kab.",
Districts,IDN.18.313,"Way Kanan, Kab.",
Districts,IDN.33.120,"Wonogiri, Kab.",
Districts,IDN.33.121,"Wonosobo, Kab.",
Districts,IDN.94.376,"Yahukimo, Kab.",
Districts,IDN.94.461,"Yalimo, Kab.",
Districts,IDN.94.278,"Yapen Waropen, Kab.",
Cities,IDN.34.132,"Yogyakarta, Kota",
